Lv,序号,标记,ジャンル名(タイプ),曲名,bpm,Time,Notes,難易度
30,pe,,zeeros(N),zeeros,146〜187,2:00,513,中(0.0)
30,解,,アジアンコンチェルトREMIX(UPPER)(N),鳳凰 ～Chinese Phoenix Mix～,160,2:00,456,弱(-0.5)
30,解,,スーパー戦湯ババンバーン(N),スーパー戦湯ババンバーン,187,,614,中(0.0)
30,解,,世界の果てに約束の凱歌を -Advent-(N),世界の果てに約束の凱歌を -Advent-,70～210,,600,中(0.0)
30,解,[[版]],セツナトリップ(UPPER)(N),セツナトリップ,145,1:57,498,弱(-0.5)
30,解,,天ぷらイントロドン！！(N),天ぷらイントロドン！！,180,,560,中(0.0)
30,解,,,波と凪の挟間で(N),波と凪の挟間で,117～177,,548
30,解,,煉獄事変(N),煉獄事変,280,,459,逆詐称(-1.0)
30,解,,Leaf(N),Leaf,150,,611,中(0.0)
30,解,,Raison d'être～交差する宿命～(N),Raison d'être～交差する宿命～,155～175,,601,中(0.0)
30,解,,smile(N),smile,188,,669,強(+0.5)
30,解,,Symphonic Tear(N),Symphonic Tear,150,,476,中(0.0)
30,UL,,グランデーロの守り(N),グランデーロの守り,152,,464,中(0.0)
30,UL,,ノープラン・デイズ(N),ノープラン・デイズ,210,,527,強(+0.5)
30,UL,,満漢全席火花ノ舞(N),満漢全席火花ノ舞,166,,609,強(+0.5)
30,UL,[[版]],無意識のフィロソフィア(N),無意識のフィロソフィア,160,,612,中(0.0)
30,UL,,,夜虹(N),夜虹,174,,542
30,UL,,Amulet of Enbarr(N),Amulet of Enbarr,160,,476,弱(-0.5)
30,UL,,,encounter(N),encounter,190,2:03,536
30,UL,,Gabbalungang(N),Gabbalungang,200,,572,強(+0.5)
30,UL,,HAGURUMA(N),HAGURUMA,100～174,,604,中(0.0)
30,UL,,,Head Scratcher(N),Head Scratcher,160,,568
30,UL,,ISERBROOK(N),ISERBROOK,152,,534,中(0.0)
30,UL,,,Jazz is Rad(N),Jazz is Rad,160,1:58,464
30,UL,,,Knockin' on Red Button(N),Knockin' on Red Button,210,2:05,587
30,UL,,,ma plume(N),ma plume,165,2:06,573
30,UL,,MA・TSU・RI(N),MA・TSU・RI,160,,553,中(0.0)
30,UL,,,REFLEXES MANIPULATION(N),REFLEXES MANIPULATION,130,1:59,491
30,UL,,,speedstar[02](/難易度表/speedstar_02_n),speedstar[02],162,,497
30,UL,,Τέλος(N),Τέλος,202,,524,中(0.0)
30,UL,,,The Metalist(N),The Metalist,185～210,,617
30,UL,,unisonote(N),unisonote,168,,604,強(+0.5)
30,UL,,Xジェネの逆襲(N),Xジェネの逆襲,192,,659,強(+0.5)
30,JF,,アルファ・スカイ(N),アルファ・スカイ,140,1:58,499,強(+0.5)
30,JF,,円環のヴァルキュリア -lopulla tragedia-(N),円環のヴァルキュリア -lopulla tragedia-,200,2:01,505,中(0.0)
30,JF,,ハートのフリット(N),ハートのフリット,198,,489,中(0.0)
30,JF,,真夜中のun thé noir(N),真夜中のun thé noir,192,,561,中(0.0)
30,JF,,ミラクル☆喫茶(N),ミラクル☆喫茶,280,,495,強(+0.5)
30,JF,,High & Low(N),High & Low,210,,554,中(0.0)
30,JF,,Hold the Pickles!!(N),Hold the Pickles!!,220～242,,507,強(+0.5)
30,JF,,Primitive Whimsical Chopped Salad(N),Primitive Whimsical Chopped Salad,206,,595,強(+0.5)
30,HC,,,ケルティックヴァース(N),朔望,194,,587
30,HC,,,マグナムユーロ(N),BOMBER!BOMBER!BABY!,169,,602
30,HC,,,ラストアーツ(N),刃図羅,165,,584
30,HC,,[[版]],FUSIONIC STARS!!(H),FUSIONIC STARS!!,200,,698
30,HC,,,MPB(N),Tizona d'El Cid,264,2:05,505
30,CS3,,ドリーミー(H),penguin,143,,488,中(0.0)
30,CS4,,リバプール(H),Love me Love me Love me,158,1:41,412,弱(-0.5)
30,CS5,,ハート(H),Pink Rose,132～146,1:54,495,強(+0.5)
30,CS5,,KG(H),Sweaty Guys,142,1:14,345,中(0.0)
30,CS7,,イノセント(H),きまぐれな風向き,78～96,1:53,453,強(+0.5)
30,CS7,,モダン'80(H),翔べない天使,145,1:43,486,中(0.0)
30,CS7,,モード(H),お天気とチョコレート,140,1:56,431,弱(-0.5)
30,CS9,,ナーサリー(H),もりへいこうよ,130,1:34,463,詐称(+1.0)
30,CS11,,タイムトラベル(H),Rapunzel,85,2:07,566,詐称(+1.0)
30,CS12,,萌えポップ(H),オヤシロのムスメ,189,1:58,450,中(0.0)
30,[[うたっち]],,スターヒロイン(H),星空に誓うロマンス,124,1:48,513,弱(-0.5)
30,ee,,2ステップ(H),HEALEN,133,1:53,462,弱(-0.5)
30,ee2,,インストゥルメンタル(H),airflow,70～148,1:55,402,中(0.0)
30,ee2,,デチューン(H),MR.C.C.,200,1:34,423,弱(-0.5)
30,ee2,,トライバル(H),ZANZIBAR,125,1:20,341,弱(-0.5)
30,ee2,,ビタースウィートポップ(H),ちょっと,70～76,1:42,352,弱(-0.5)
30,ee2,,ボッサGOGO(H),Custom-made Girl -NOT FOR SALE!-,202,2:02,536,中(0.0)
31,2,,デジロック(H),ROSE～恋人よ、薔薇色に染まれ,124,1:32,497,強(+0.5)
31,4,,ナイトアウト(H),透明なマニキュア,140,1:30,531,詐称(+1.0)
31,4,,フューチャー(H),ostin-art,144,1:32,519,強(+0.5)
31,5,,アレグリア(EX),クチビル,124,1:46,508,中(0.0)
31,5,,,パーカッシヴ(H),西新宿清掃曲,140～280,1:45,446
31,5,,ヘヴィロック(N),INNOVATION,160～170,1:52,549,弱(-0.5)
31,5,,ヨーデル(H),LA LA LA LA YO-DEL,165,1:33,492,強(+0.5)
31,5,,J-テクノ2(H),power plant,156,2:10,599,弱(-0.5)
31,6,,マーチング(H),マシュマロ・マーチ,130,1:38,419,中(0.0)
31,6,,メロコア(H),H@ppy Choice,168,1:38,471,弱(-0.5)
31,7,,ウィンターポップ(H),White Lovers,125,1:43,446,強(+0.5)
31,7,,サニー(H),HAPPY MUSIC,135,1:57,592,強(+0.5)
31,7,,ニューエイジREMIX(H),龍舞 ～DRAGON DANCE Revision-2,130,2:03,599,中(0.0)
31,8,,パビリオン(H),theme of pop'n land,260,1:54,525,強(+0.5)
31,8,,フリーソウル(H),Lover's High,130,1:32,482,中(0.0)
31,8,,フレッシュ(H),チェイス！チェイス！チェイス！,176,1:50,573,強(+0.5)
31,8,,J-R&B3(H),Can't Stop My Love,100,1:53,451,弱(-0.5)
31,9,,大河ドラマ(H),雪の華,35～118,1:51,421,強(+0.5)
31,9,,フレンチボッサ(H),COQUETTE,154,2:00,555,弱(-0.5)
31,10,,ウィンボ(H),ポレポレの雨乞いの唄,118,1:41,500,中(0.0)
